champion_name,rank_cohort,rank_naive,pp_cohort,pp_naive,naive_minus_cohort_pp
Diana,1.0,1,0.781,0.585,-0.196
Pantheon,2.0,6,0.564,0.348,-0.216
Vayne,3.0,2,0.445,0.515,0.07
Warwick,4.0,15,0.445,0.264,-0.181
Zed,5.0,4,0.441,0.384,-0.057
Chogath,6.0,8,0.4,0.328,-0.072
Kayn,7.0,9,0.396,0.307,-0.089
Jinx,8.0,3,0.39,0.497,0.107
Tristana,9.0,12,0.385,0.303,-0.082
Kaisa,10.0,7,0.383,0.33,-0.053
MasterYi,11.0,10,0.342,0.307,-0.035
Kayle,12.0,31,0.295,0.118,-0.177
Yasuo,13.0,119,0.261,-0.073,-0.334
Karma,14.0,19,0.256,0.2,-0.056
Ekko,15.0,30,0.255,0.118,-0.137
Sett,19.0,14,0.239,0.277,0.038
Twitch,27.0,13,0.144,0.294,0.15
Ezreal,30.0,5,0.132,0.353,0.221
Quinn,,11,,0.306,0.306
